Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C15, C17, C2, C4, C6, C9",0805,8,10uF,
"C10, C12, C13, C14, C16, C8",0805,6,100nF,
"C3, C5, C7",0805,3,22uF,
"D1, D2, D3, D4, D5, D6, D7",0805,7,LED,
D8,LED_WS2812B-Mini_PLCC4_3.5x3.5mm,1,WS2812B,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,
J3,PinHeader_1x22_P2.54mm_Vertical,1,Conn_01x22,
J4,PinHeader_1x21_P2.54mm_Vertical,1,Conn_01x21,
L1,L_Coilcraft_XxL4020,1,1uH XFL4020-102MEC,
"R1, R2",0805,2,5.1k,
"R10, R3, R5, R6, R8, R9",0805,6,10k,
R11,0805,1,330,
"R4, R7",0805,2,2,
SW1,Panasonic_EVQPUM_EVQPUD,1,SW_Push,
"SW2, SW3",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,SOP127P600X165-9N,1,IP5306,
U3,SOT-23-5,1,TLV75733PDBV,
U4,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1,
