Designator,Mid X,Mid Y,Rotation,Layer
C1,53.0,-105.0,0.0,top
C10,53.0,-76.0,90.0,top
C11,55.999999,-76.0,90.0,top
C12,68.0,-79.1,0.0,top
C13,52.0,-79.1,180.0,top
C14,48.0,-51.2,180.0,top
C15,48.0,-49.0,180.0,top
C16,60.0,-79.2,0.0,top
C17,60.0,-81.4,0.0,top
C2,53.0,-100.6,180.0,top
C3,60.9,-97.0,180.0,top
C4,70.0,-108.7,0.0,top
C5,53.0,-97.0,180.0,top
C6,66.1,-106.4,0.0,top
C7,67.0,-97.0,0.0,top
C8,63.999999,-75.999999,90.0,top
C9,67.0,-75.999999,90.0,top
D1,56.0,-84.0,0.0,top
D2,65.0,-93.0,270.0,top
D3,62.0,-93.0,90.0,top
D4,58.0,-93.0,270.0,top
D5,47.0,-114.0,90.0,top
D6,55.0,-93.0,90.0,top
D7,64.0,-84.0,180.0,top
D8,60.0,-85.9,270.0,top
J1,60.0,-116.0,0.0,top
J2,70.0,-115.0,180.0,top
J3,47.3,-81.67,0.0,top
J4,72.7,-80.399999,180.0,top
L1,67.0,-101.0,270.0,top
R1,57.0,-108.0,90.0,top
R10,64.0,-81.0,180.0,top
R11,60.0,-89.9,0.0,top
R2,63.0,-108.0,90.0,top
R3,56.0,-81.0,0.0,top
R4,53.0,-102.8,180.0,top
R5,53.0,-114.0,270.0,top
R6,50.0,-113.0,180.0,top
R7,66.0,-108.7,180.0,top
R8,64.0,-87.0,0.0,top
R9,56.0,-87.0,180.0,top
SW1,50.0,-118.0,180.0,top
SW2,68.0,-83.0,270.0,top
SW3,52.0,-83.0,90.0,top
U1,60.0,-108.0,270.0,top
U2,60.0,-101.0,0.0,top
U3,60.0,-76.0,0.0,top
U4,60.0,-63.09,0.0,top
